608,JABONERA CON TAPA,gemplast,1.46
626,BACINILLA GRANDE,gemplast,4.14
604,PERCHA MODELO NUEVO,gemplast,22.15
680,PERCHA ANATOMICA (X 10 UNIDADES),gemplast,12.93
615,CESTO P/ROPA RED. APILABLE 65 LTS,gemplast,24.71
627,CESTO PARA ROPA REDONDO 2008,gemplast,18.67
630,CESTO ROPA 50 LTS RECT. CON TAPA,gemplast,43.78
636,CAJITA MULTIUSO,gemplast,4.25
640,ORGANIZADOR 18 Lts,gemplast,21.95
64079,ORGANIZADOR 18 Lts FE,gemplast,19.9
645,ORGANIZADOR 28 Lts,gemplast,26.91
64579,ORGANIZADOR 28 Lts FE,gemplast,24.29
647,ORGANIZADOR 30 Lts,gemplast,32.94
650,ORGANIZADOR BAJO CAMA 36 LT,gemplast,40.45
65079,ORGANIZADOR BAJO CAMA 36 LT FE,gemplast,36.72
651,ORGANIZADOR 40 LTS CUADRADO,gemplast,34.74
654,ORGANIZADOR 54 Lts,gemplast,48.89
65479,ORGANIZADOR 54 Lts FE,gemplast,44.54
655,CANASTO MULT. RECT.,gemplast,14.27
1473,CAJON REFORZADO RECTANGULAR,gemplast,14.27
116,Maceta 16 Cm Diam.,gemplast,2.45
118,Maceta 18 Cm Diam.,gemplast,2.58
120,Maceta 20 Cm Diam.,gemplast,3.01
122,Maceta 22 Cm Diam.,gemplast,3.67
125,Maceta 25 Cm Diam.,gemplast,5.28
130,Maceta 30 Cm Diam.,gemplast,7.99
135,Maceta 35 Cm Diam.,gemplast,10.96
140,Maceta 40 Cm Diam.,gemplast,18.83
145,Maceta 45 Cm Diam.,gemplast,22.62
155,Maceta 55 Cm Diam.,gemplast,36.62
410,Maceta Alta No 1,gemplast,8.4
245,Jardinera 45 Cm.,gemplast,7.64
420,Maceta Alta No 2,gemplast,6.4
235,Jardinera 35 Cm.,gemplast,4.5
255,Jardinera 55 Cm.,gemplast,11.98
265,Jardinera 65 Cm.,gemplast,18.45
916,Plato de Maceta no 16,gemplast,1.35
918,Plato de Maceta no 18,gemplast,1.77
920,Plato de Maceta no 20,gemplast,2.07
922,Plato de Maceta no 22,gemplast,2.18
926,Plato de Maceta no 26,gemplast,2.81
928,Plato de Maceta no 28,gemplast,3.02
932,Plato de Maceta no 32,gemplast,4.48
936,Plato de Maceta no 36,gemplast,5.13
940,Plato de Maceta no 40,gemplast,6.12
935,Plato para Jardinera no 35,gemplast,2.34
945,Plato para Jardinera no 45,gemplast,3.51
955,Plato para Jardinera no 55,gemplast,5.33
965,Plato para Jardinera no 65,gemplast,7.66
327,Maceta Luxemburgo Diam. 27 Cm,gemplast,5.46
337,Maceta Luxemburgo Diam. 37 Cm,gemplast,11.19
347,Maceta Luxemburgo Diam. 47 Cm,gemplast,22.65
450,Gancho de maceta universal,gemplast,1.25
460,Senialador,gemplast,0.71
490,Rastrillo,gemplast,9.16
470,Mensula,gemplast,4.32
514,Maceta Holanda Diam. 14 Cm,gemplast,1.9
516,Maceta Holanda Diam. 16 Cm,gemplast,2.41
518,Maceta Holanda Diam. 18 Cm,gemplast,2.78
520,Maceta Holanda Diam. 20 Cm,gemplast,3.04
524,Maceta Holanda Diam. 24 Cm,gemplast,5.1
530,Maceta Holanda Diam. 30 Cm,gemplast,9.09
535,Maceta Holanda Diam. 35 Cm,gemplast,13.69
618,Bols No 18,gemplast,2.26
622,Bols No 22,gemplast,3.33
726,Viena No 26,gemplast,6.23
732,Viena No 32,gemplast,12.47
738,Viena No 38,gemplast,0
835,Maceta Versalles 35 cm,gemplast,21.63
